Station,LAT,LONG,ELEVATION
53651,38.81667,110.4667,1098
53658,38.03333,110.4833,894.4
53659,37.96667,111,1163.3
53660,39.01667,111.0833,894.4
53662,38.71667,111.5833,1396.7
53663,38.91667,111.8167,1401
53664,38.46667,111.1333,1012.6
53665,38.28333,111.65,1185.1
53666,38.35,111.9333,1212.2
53669,38.08333,111.8,1150.3
53673,38.73333,112.7167,828.2
53674,38.4,112.7,869.9
53676,38.5,112.9833,759.4
53677,37.93333,112.4833,806.5
53678,38.06667,112.65,897.1
53679,37.75,112.55,776.2
53681,38.83333,113.3667,1096.2
53682,38.63333,114.6833,104.1
53685,38.06667,113.4167,953.2
53690,38.85,114.1833,281.9
53692,38.73333,114.9833,66.5
53696,38.55,115.0167,41.9
53704,37.53333,105.1833,1225.7
53705,37.48333,105.6833,1183.4
53707,36.93333,105.25,1697.9
53723,37.8,107.3833,1349.3
53725,37.58333,107.5833,1360.3
53727,37.16667,107.1167,1712.5
53730,38.18333,107.4833,1333.3
53732,37.85,108.7167,1209.9
53735,37.61667,108.8,1336.7
53738,36.91667,108.1667,1331.4
53740,37.93333,109.2333,1111
53748,37.18333,109.7,1063.3
53750,37.76667,110.1833,931
53751,37.6,110.05,894.6
53753,37.43333,110.8833,860.1
53754,37.5,110.2167,929.7
53756,37.51667,110.7167,744
53757,37.11667,110.1167,938
53759,36.98333,110.8333,1109.1
53760,37.88333,111.2333,1212.4
53763,37.91667,112.1667,1006.8
53764,37.5,111.1,950.8
53767,37.33333,111.1667,1213.1
53768,37.15,111.75,773.4
53769,37.25,111.7833,747.7
53770,37.35,112.35,768.8
53771,37.41667,112.05,750
53772,37.61667,112.5833,776.3
53774,37.58333,112.3667,759.9
53775,37.41667,112.6,785.8
53776,37.68333,112.7667,831.2
53777,37.51667,112.15,753.6
53778,37.16667,112.2167,780.3
53780,37.9,113.15,1066.1
53787,37.06667,112.9833,1041.4
53806,36.56667,105.65,1854.2
53810,36.96667,105.9,1339.3
53817,36,106.2667,1753
53821,36.56667,107.3,1255.6
53829,35.98333,107.9,1093.7
53832,36.76667,108.7667,1218.8
53841,36.88333,109.3167,1068.3
53845,36.58333,109.45,1180.5
53848,36.26667,109.35,1005.5
53850,36.88333,110.1833,804.9
53852,36.76667,110.6333,916.6
53853,36.7,110.95,1052.7
53854,36.58333,110.0667,804.8
